cohort_decade,round,survey_year,mean_lit,se,V_W,V_B,n_obs
1940,1,2014,200.48431467489374,4.939727489929663,0.8890737384514987,21.37439448755937,84
1950,1,2014,193.42629926705214,0.8089571202801016,0.15073076198451169,0.4578916913339665,864
1950,2,2023,179.32707645396553,2.553061635862145,4.51914705442161,1.8172515109904392,207
1960,1,2014,206.21689776834637,1.2199297396767297,0.12052660910609299,1.2433654187651275,1062
1960,2,2023,182.28405479047197,1.3574351173982975,1.2698679864671627,0.5206928286172428,861
1970,1,2014,220.385950824054,1.1474942382661255,0.12316565703838302,1.0850703361959748,963
1970,2,2023,207.9475867066125,1.7142750360438432,1.8502298183826071,0.9895537098368293,845
1980,1,2014,235.2922776402409,0.8618279033558603,0.12479526950699489,0.5617746049961483,1163
1980,2,2023,220.0905329789632,1.5384073017923379,1.8199056137134626,0.4970831022677442,1029
1990,1,2014,237.0270931857205,0.8303593063846664,0.09890344113087195,0.5369028514261385,1056
1990,2,2023,239.40627556094842,1.2219790843580332,1.0848042235149964,0.37129878099409136,1106
2000,2,2023,242.10442845601602,1.7203611056163237,2.2046844716993124,0.6863253291073703,678
