country,year,spend_per_pupil_usd_ppp,source
USA,1970,7200,"NCES Digest 2023 Table 236.55, deflated to 2021 USD via CPI"
USA,1980,9400,"NCES Digest 2023 Table 236.55, deflated to 2021 USD via CPI"
USA,1990,12800,"NCES Digest 2023 Table 236.55, deflated to 2021 USD via CPI"
USA,2000,13400,OECD EAG 2005 Table B1.1
USA,2005,14700,OECD EAG 2008 Table B1.1
USA,2010,16700,OECD EAG 2013 Table B1.1
USA,2015,15600,OECD EAG 2018 Table B1.1
USA,2019,17100,OECD EAG 2022 Table B1.1
USA,2021,17800,OECD EAG 2023 Table B1.1
GBR,2000,7200,OECD EAG 2005 Table B1.1
GBR,2005,10200,OECD EAG 2008 Table B1.1
GBR,2010,12400,OECD EAG 2013 Table B1.1
GBR,2015,11900,OECD EAG 2018 Table B1.1
GBR,2019,12800,OECD EAG 2022 Table B1.1
GBR,2021,13300,OECD EAG 2023 Table B1.1
FRA,2000,7400,OECD EAG 2005 Table B1.1
FRA,2005,9200,OECD EAG 2008 Table B1.1
FRA,2010,10500,OECD EAG 2013 Table B1.1
FRA,2015,10500,OECD EAG 2018 Table B1.1
FRA,2019,11400,OECD EAG 2022 Table B1.1
FRA,2021,12000,OECD EAG 2023 Table B1.1
